TITLE,REGION,DISTANCE,DIST_TYPE,GAIN,HIGHEST,RATING,RATING_COUNT,LATITUDE,LONGITUDE,REPORT_DATE,REPORT_COUNT,URL
Al Borlin Park,Puget Sound and Islands,1.2,trails,,,3,4,47.84913732,-121.9706547,11/29/20,11,https://www.wta.org/go-hiking/hikes/al-borlin-park
Ala Spit,Puget Sound and Islands,1,roundtrip,10,,3.5,2,48.39866483,-122.5864792,3/7/21,17,https://www.wta.org/go-hiking/hikes/ala-spit
Alaska Lake Snowshoe,Snoqualmie Region,12,roundtrip,1600,4200,3.33,3,47.4016512,-121.3736105,6/4/16,5,https://www.wta.org/go-hiking/hikes/alaska-lake-snowshoe
Albert Camp,North Cascades,8.6,roundtrip,2900,7700,1.6,5,48.9069201,-119.8271961,8/14/20,7,https://www.wta.org/go-hiking/hikes/albert-camp
Alder Ridge-Mad River Tie,Central Cascades,,,,,2.8,5,,,5/16/17,3,https://www.wta.org/go-hiking/hikes/alder-ridge-mad-river-tie
Alderbrook Nature Trails,Olympic Peninsula,4.6,trails,600,460,4.5,2,47.3383283,-123.0709076,2/27/21,9,https://www.wta.org/go-hiking/hikes/alderbrook-nature-trails
Aldrich Butte,Southwest Washington,3.6,roundtrip,1129,3400,0,0,45.6554,-121.9607,1/29/17,4,https://www.wta.org/go-hiking/hikes/aldrich-butte
Alger Alp (North Route),Puget Sound and Islands,5,roundtrip,1000,1303,3,2,48.64391222,-122.3555288,2/16/21,12,https://www.wta.org/go-hiking/hikes/alger-alp-north-route
Alger Alp (South Route),Puget Sound and Islands,4,roundtrip,1000,1350,3.18,11,48.61997389,-122.3399735,2/6/21,86,https://www.wta.org/go-hiking/hikes/alger-alp-south-route
Alki Crest,Mount Rainier Area,,,,,2.5,2,46.9819269,-121.942102,1/15/21,13,https://www.wta.org/go-hiking/hikes/alki-crest
Alki Trail,Puget Sound and Islands,4.4,one-way,,20,4.33,3,47.58209847,-122.3711729,4/20/20,6,https://www.wta.org/go-hiking/hikes/alki-trail
Allen Mountain,South Cascades,,,,,4,6,46.6563882,-121.8433571,7/3/20,8,https://www.wta.org/go-hiking/hikes/allen-mountain
Alpine Falls,Central Cascades,0.1,roundtrip,10,,2,1,47.71747117,-121.2253332,9/29/18,2,https://www.wta.org/go-hiking/hikes/alpine-falls
Alpine Lookout,Central Cascades,10,roundtrip,2600,6235,3.56,9,47.79226667,-120.79445,11/8/20,105,https://www.wta.org/go-hiking/hikes/alpine-lakes-high-route
Alta Lake State Park,North Cascades,2,roundtrip,,,0,0,48.029442,-119.9357593,6/18/20,10,https://www.wta.org/go-hiking/hikes/alta-lake-state-park
Alta Mountain,Snoqualmie Region,12,roundtrip,3300,6151,4.68,19,47.3979629,-121.2843441,1/23/21,240,https://www.wta.org/go-hiking/hikes/alta-mountain
Alta Mountain Tarns,Snoqualmie Region,,,,,5,1,,,10/4/20,9,https://www.wta.org/go-hiking/hikes/alta-mountain-tarns-via-mineral-creek-trail
Alta Vista Loop,Mount Rainier Area,1.5,roundtrip,560,5960,3.33,6,46.786033,-121.734983,12/27/20,68,https://www.wta.org/go-hiking/hikes/alta-vista-loop
Amabilis Mountain Snowshoe,Snoqualmie Region,9.5,roundtrip,2100,4570,3.25,4,47.29649131,-121.2888908,3/27/21,142,https://www.wta.org/go-hiking/hikes/amabilis-mountain-snowshoe
American Camp and South Beach,Puget Sound and Islands,2.7,roundtrip,167,175,0,0,48.46451542,-123.0238796,7/19/20,6,https://www.wta.org/go-hiking/hikes/american-camp-and-south-beach
American Lake,Mount Rainier Area,15.5,roundtrip,2759,5858,3.3,10,46.8694,-121.51965,10/6/20,39,https://www.wta.org/go-hiking/hikes/american-lake
American Ridge,Mount Rainier Area,12,one-way,2950,6310,3.6,5,46.9695,-121.168,8/28/20,73,https://www.wta.org/go-hiking/hikes/american-ridge
Ames Lake Forest,Snoqualmie Region,,,,,0,0,47.64553622,-121.9547781,12/29/20,20,https://www.wta.org/go-hiking/hikes/ames-lake-forest
Amos Peak,North Cascades,,,8000,8259,0,0,48.7834,-120.1079,6/23/18,1,https://www.wta.org/go-hiking/hikes/amos-peak
Anaconda Peak,North Cascades,,,,,0,0,48.0728484,-121.6547102,5/27/17,5,https://www.wta.org/go-hiking/hikes/anaconda-peak
Anacortes Community Forest Lands - Big Beaver Pond,Puget Sound and Islands,2.5,roundtrip,175,450,3,1,48.49158277,-122.6363462,3/9/21,33,https://www.wta.org/go-hiking/hikes/big-beaver-pond
Anacortes Community Forest Lands - Eastern Fringe Forest Loop,Puget Sound and Islands,3.7,roundtrip,520,550,0,0,48.4733765,-122.6051474,9/1/20,2,https://www.wta.org/go-hiking/hikes/anacortes-community-forest-lands-eastern-fringe-forest-loop
Anacortes Community Forest Lands - Four Summit Loop,Puget Sound and Islands,6.5,roundtrip,1700,1300,0,0,48.46768588,-122.6298237,3/13/21,5,https://www.wta.org/go-hiking/hikes/anacortes-community-forest-lands-four-summit-loop
Anacortes Community Forest Lands - Heart Lake,Puget Sound and Islands,2.86,roundtrip,130,620,3,2,48.47511201,-122.6272488,11/5/20,30,https://www.wta.org/go-hiking/hikes/anacortes-community-forest-lands
Anacortes Community Forest Lands - Little Cranberry Lake,Puget Sound and Islands,1.5,roundtrip,125,250,3.38,8,48.50415168,-122.6449379,3/9/21,75,https://www.wta.org/go-hiking/hikes/little-cranberry-lake-anacortes-community-forest-lands
Anacortes Community Forest Lands - Little Round Top,Puget Sound and Islands,3,roundtrip,850,915,4,1,48.47973402,-122.6143274,3/9/21,15,https://www.wta.org/go-hiking/hikes/little-round-top
Anacortes Community Forest Lands - Mount Erie,Puget Sound and Islands,5,roundtrip,1000,1300,4.31,13,48.46901616,-122.6293685,3/11/21,135,https://www.wta.org/go-hiking/hikes/mount-erie
Anacortes Community Forest Lands - Sugarloaf,Puget Sound and Islands,2.5,roundtrip,890,1275,3.4,15,48.46761056,-122.6294659,3/2/21,124,https://www.wta.org/go-hiking/hikes/sugarloaf-1
Anacortes Community Forest Lands - Whistle Lake,Puget Sound and Islands,4,roundtrip,580,600,4.25,16,48.46309024,-122.6048555,3/3/21,132,https://www.wta.org/go-hiking/hikes/whistle-lake
Ancient Groves,Olympic Peninsula,0.5,roundtrip,,,4.67,3,47.99819282,-123.902092,7/15/20,7,https://www.wta.org/go-hiking/hikes/ancient-groves
Ancient Lakes,Central Washington,12,roundtrip,625,1200,4.07,58,47.15186675,-119.9222913,3/27/21,485,https://www.wta.org/go-hiking/hikes/ancient-lakes
Anderson Butte,North Cascades,3,roundtrip,1000,5380,3.56,9,48.6749654,-121.6213741,8/26/20,47,https://www.wta.org/go-hiking/hikes/anderson-butte
Anderson Glacier,Olympic Peninsula,,,,,2.67,6,47.72489098,-123.002758,8/2/20,22,https://www.wta.org/go-hiking/hikes/anderson-glacier
Anderson Island,Puget Sound and Islands,2.5,roundtrip,50,50,0,0,47.1497353,-122.7238297,5/31/20,6,https://www.wta.org/go-hiking/hikes/anderson-island-andys-marine-park-jacobs-point
Anderson Lake State Park,Olympic Peninsula,8,trails,80,320,2,2,48.01789765,-122.8038561,3/22/21,13,https://www.wta.org/go-hiking/hikes/anderson-lake-state-park
Anderson Landing Preserve,Olympic Peninsula,2,roundtrip,,,0,0,47.662181,-122.763182,8/24/20,9,https://www.wta.org/go-hiking/hikes/anderson-landing-nature-preserve
Anderson Mountain,Puget Sound and Islands,,,,,2.5,2,,,12/24/20,8,https://www.wta.org/go-hiking/hikes/anderson-mountain
Anderson Pass,Olympic Peninsula,,,,,4,4,,,9/3/20,48,https://www.wta.org/go-hiking/hikes/anderson-pass
Anderson Point,Olympic Peninsula,1.4,roundtrip,250,250,0,0,47.43854464,-122.5397444,11/11/19,14,https://www.wta.org/go-hiking/hikes/anderson-point
Anderson and Watson Lakes,North Cascades,6,roundtrip,1100,4900,4.38,21,48.67466667,-121.6016667,11/8/20,313,https://www.wta.org/go-hiking/hikes/anderson-and-watson-lakes
Andrew Peak,North Cascades,,,7500,8301,0,0,48.7834,-120.1079,6/23/18,1,https://www.wta.org/go-hiking/hikes/andrew-peak
Andrews Creek,North Cascades,31,roundtrip,4000,6700,3,4,48.783372,-120.107877,8/9/20,22,https://www.wta.org/go-hiking/hikes/andrews-creek
Andy Creek,South Cascades,,,,,4,4,,,5/27/20,7,https://www.wta.org/go-hiking/hikes/andy-creek
Angel Falls Loop,South Cascades,3.4,roundtrip,1100,2300,3,14,46.43881667,-121.8519833,1/18/21,67,https://www.wta.org/go-hiking/hikes/covel-creek-falls
Angel Pass,Eastern Washington,,,,,3.8,5,48.47155557,-120.0252914,6/9/17,2,https://www.wta.org/go-hiking/hikes/angel-pass
Angel Staircase,North Cascades,,,,,2.25,4,,,9/20/20,31,https://www.wta.org/go-hiking/hikes/angel-staircase
Angel's Rest,Southwest Washington,4.8,roundtrip,1500,1600,4.5,2,45.56021655,-122.172728,3/1/21,22,https://www.wta.org/go-hiking/hikes/angels-rest
Angel's Rest-Devil's Rest Loop,Southwest Washington,10.7,roundtrip,2770,2308,5,1,45.56026303,-122.1725821,10/10/19,11,https://www.wta.org/go-hiking/hikes/angels-rest-devils-rest
Angle Peak,Central Cascades,,,,,3.5,4,,,5/6/17,1,https://www.wta.org/go-hiking/hikes/angle-peak
Angry Mountain,South Cascades,16.8,roundtrip,3409,6049,3.25,8,46.51840318,-121.5943945,8/14/20,18,https://www.wta.org/go-hiking/hikes/angry-mountain
Annette Lake,Snoqualmie Region,7.5,roundtrip,1800,3600,3.83,186,47.39275746,-121.4740733,3/27/21,1714,https://www.wta.org/go-hiking/hikes/annette-lake
Anthem Creek,Central Cascades,3.3,one-way,2700,,3,5,,,10/23/19,7,https://www.wta.org/go-hiking/hikes/anthem-creek-1
Anthracite Peak,Central Cascades,,,,5006,0,0,48.108096,-121.504248,8/26/16,1,https://www.wta.org/go-hiking/hikes/anthracite-peak
Anti-Aircraft Peak Loop,Issaquah Alps,4.75,roundtrip,450,1380,3.05,19,47.53419829,-122.1137732,1/15/21,161,https://www.wta.org/go-hiking/hikes/anti-aircraft-peak
Antoine Peak - Robbins Road Snowshoe Loop,Eastern Washington,2,roundtrip,250,,0,0,47.7213556,-117.1817399,3/26/20,5,https://www.wta.org/go-hiking/hikes/antoine-peak-robbins-road-loop
Antoine Peak Conservation Area,Eastern Washington,9,roundtrip,732,3366,5,1,47.716806,-117.196243,2/13/21,41,https://www.wta.org/go-hiking/hikes/antoine-peak-conservation-area
Antoine Peak Conservation Area - Canfield Gulch,Eastern Washington,5.3,roundtrip,1030,3366,4,1,47.72190227,-117.1951315,10/17/20,15,https://www.wta.org/go-hiking/hikes/canfield-gulch-of-antoine-peak
Antoine Peak Conservation Area - Summit Loop,Eastern Washington,5.5,roundtrip,600,,0,0,47.71884307,-117.1967324,12/1/19,20,https://www.wta.org/go-hiking/hikes/antoine-peak-conservation-area-summit-loop
Ape Canyon,South Cascades,11,roundtrip,1400,2800,3.43,7,46.16466667,-122.0921167,10/31/20,60,https://www.wta.org/go-hiking/hikes/ape-canyon
Ape Caves,South Cascades,2.8,roundtrip,350,2450,4.54,56,46.10831667,-122.21145,7/12/20,211,https://www.wta.org/go-hiking/hikes/ape-cave
Appaloosa Trail,Southwest Washington,3,one-way,,,0,0,45.7757,-122.3378,,0,https://www.wta.org/go-hiking/hikes/appaloosa-trail
Apple Capital Recreation Loop Trail,Central Washington,10,roundtrip,600,692,0,0,47.46266894,-120.3241537,5/6/20,3,https://www.wta.org/go-hiking/hikes/apple-capital-recreation-loop-trail
Appleton Pass,Olympic Peninsula,15.4,roundtrip,3230,5050,3.67,6,47.98683333,-123.6519167,10/31/20,46,https://www.wta.org/go-hiking/hikes/appleton-pass
Appleway Trail,Eastern Washington,5.1,one-way,100,2000,0,0,47.65503951,-117.2612,12/29/20,1,https://www.wta.org/go-hiking/hikes/appleway-trail
Arch Rock,Mount Rainier Area,12,roundtrip,1400,5900,4.67,6,47.09296667,-121.4048667,8/8/20,35,https://www.wta.org/go-hiking/hikes/arch-rock
Ardmore Park Trails,Puget Sound and Islands,1.5,roundtrip,170,380,3.75,4,47.637062,-122.114778,2/27/21,16,https://www.wta.org/go-hiking/hikes/ardmore-trails
Arlington Airport Trail,Puget Sound and Islands,6,trails,,115,3.5,2,48.16654339,-122.1508884,2/28/21,13,https://www.wta.org/go-hiking/hikes/arlington-airport-trail
Arnold Peak,North Cascades,,,,8091,0,0,48.988731,-119.922057,8/12/19,2,https://www.wta.org/go-hiking/hikes/arnold-peak
Arralde Creek,North Cascades,,,,,3.5,4,,,,0,https://www.wta.org/go-hiking/hikes/arralde-creek
Arrowhead Mountain,Central Cascades,,,,6027,4,3,,,3/11/21,22,https://www.wta.org/go-hiking/hikes/arrowhead-mountain
Artesian &amp; Black Lake,Central Washington,,,,,0,0,,,5/31/15,1,https://www.wta.org/go-hiking/hikes/artesian-black-lake
Artist Point Snowshoe,North Cascades,4,roundtrip,1000,5100,4.48,21,48.86157085,-121.6824943,3/27/21,336,https://www.wta.org/go-hiking/hikes/artist-point-snowshoe
Artist Ridge - Huntoon Point,North Cascades,1.2,roundtrip,200,5150,3.82,11,48.8466827,-121.6910452,1/23/21,143,https://www.wta.org/go-hiking/hikes/artist-ridge
Asahel Curtis Nature Trail,Snoqualmie Region,0.5,roundtrip,180,2000,2.86,7,47.39266667,-121.4744167,3/18/21,54,https://www.wta.org/go-hiking/hikes/asahel-curtis
Ashford Trail,Puget Sound and Islands,0.25,one-way,,,0,0,47.68933417,-122.1121788,5/9/20,1,https://www.wta.org/go-hiking/hikes/ashford-trail
Ashland Lakes,North Cascades,5.4,roundtrip,800,3000,3.64,25,48.04766667,-121.7141833,1/19/21,267,https://www.wta.org/go-hiking/hikes/ashland-lakes
Ashnola River,North Cascades,,,,,0,0,,,7/27/20,3,https://www.wta.org/go-hiking/hikes/ashnola-river
Atrium Peak,Central Cascades,,,,5359,2,1,,,10/5/10,2,https://www.wta.org/go-hiking/hikes/atrium-peak-5359
Augspurger Mountain - North,Southwest Washington,2.8,roundtrip,1100,3667,3,1,45.77202612,-121.6711442,8/8/15,2,https://www.wta.org/go-hiking/hikes/augspurger-mountain-north
Augspurger Trail,Southwest Washington,15.5,roundtrip,4400,3000,2.75,4,45.6991229,-121.7062141,11/21/20,23,https://www.wta.org/go-hiking/hikes/augspurger-trail
Aurora Creek,Olympic Peninsula,6.8,roundtrip,3670,4200,3,4,48.0536153,-123.9892995,12/27/20,7,https://www.wta.org/go-hiking/hikes/aurora-creek
Aurora Divide,Olympic Peninsula,,,,,3.2,5,,,8/4/18,6,https://www.wta.org/go-hiking/hikes/aurora-divide
Aurora Ridge,Olympic Peninsula,16.8,roundtrip,2500,5000,2.8,5,48.0536244,-123.9892928,7/28/19,10,https://www.wta.org/go-hiking/hikes/aurora-ridge
Austera Peak,North Cascades,,,,8334,0,0,48.568463,-121.101507,5/25/18,2,https://www.wta.org/go-hiking/hikes/austera-peak
Avalanche Mountain,Snoqualmie Region,8.5,roundtrip,3000,5400,0,0,47.4570251,-121.4444679,12/31/18,14,https://www.wta.org/go-hiking/hikes/avalanche-mountain
Axis Peak,Central Cascades,,,,7550,5,1,,,6/2/18,5,https://www.wta.org/go-hiking/hikes/axis-peak-7550
BPA Trail,Puget Sound and Islands,7.28,roundtrip,,420,4,1,47.294213,-122.343554,11/30/20,3,https://www.wta.org/go-hiking/hikes/bpa-trail
BZ Trail,Southwest Washington,0.5,roundtrip,,,0,0,,,,0,https://www.wta.org/go-hiking/hikes/bz-trail
Bachelor Meadows,Central Cascades,,,,,2.6,5,,,9/8/20,10,https://www.wta.org/go-hiking/hikes/bachelor-meadows
Backbone Ridge,South Cascades,6.6,roundtrip,1750,2900,2.5,6,46.66422612,-121.6003382,8/1/18,9,https://www.wta.org/go-hiking/hikes/backbone-ridge
Backpacker Camp,Central Cascades,,,,,3.25,4,,,8/9/13,2,https://www.wta.org/go-hiking/hikes/backpacker-camp
Badger Mountain - Canyon Trail,Central Washington,3.25,roundtrip,1195,1579,3.92,12,46.23836038,-119.3063639,1/26/21,36,https://www.wta.org/go-hiking/hikes/badger-mountain-canyon-trail
Badger Mountain - Sagebrush Trail,Central Washington,1.8,roundtrip,500,1200,0,0,46.23846289,-119.3061376,8/9/20,12,https://www.wta.org/go-hiking/hikes/badger-mountain-sagebrush-trail
Badger Mountain - Skyline Trail,Central Washington,5.8,roundtrip,1100,1500,0,0,46.2421,-119.3424,12/7/20,17,https://www.wta.org/go-hiking/hikes/badger-mountain-skyline-trail
Badger Mountain - The Langdon Trail,Central Washington,6,roundtrip,1300,1570,0,0,46.2420645,-119.3424356,4/6/17,2,https://www.wta.org/go-hiking/hikes/badger-mountain-the-langdon-trail
Badger Mountain Flats,Central Washington,0.6,roundtrip,30,240,0,0,,,,0,https://www.wta.org/go-hiking/hikes/badger-mountain-flats
Badger Peak,South Cascades,7.5,roundtrip,1700,5664,2.2,5,46.3097,-121.9303,6/27/18,8,https://www.wta.org/go-hiking/hikes/badger-peak
Badger Valley,Olympic Peninsula,8.6,roundtrip,2080,6400,3,7,47.91835538,-123.3822048,9/10/20,59,https://www.wta.org/go-hiking/hikes/badger-vallley
Badlands Trail,Central Cascades,,,,,3.5,4,,,6/14/20,11,https://www.wta.org/go-hiking/hikes/badlands
Bagley Lakes,North Cascades,2,roundtrip,150,4300,3.84,19,48.8631799,-121.6793076,11/7/20,117,https://www.wta.org/go-hiking/hikes/bagley-lakes
Bagley Lakes Snowshoe,North Cascades,5.5,roundtrip,1152,,4.5,2,48.86204837,-121.6548246,11/29/19,14,https://www.wta.org/go-hiking/hikes/bagley-lakes-herman-saddle
Bailey Range Traverse,Olympic Peninsula,,,,,5,1,47.85115395,-123.5860205,8/26/20,26,https://www.wta.org/go-hiking/hikes/bailey-range
Bainbridge Island Japanese American Exclusion Memorial,Puget Sound and Islands,,,,,4,4,47.61540598,-122.5102281,3/6/21,2,https://www.wta.org/go-hiking/hikes/bainbridge-island-japanese-american-exclusion-memorial
Baker Hot Springs,North Cascades,,,,,4.17,6,48.8464316,-121.6924453,3/27/21,27,https://www.wta.org/go-hiking/hikes/baker-hot-springs
Baker Lake - Horseshoe Cove Snowshoe,North Cascades,,,,,0,0,48.67860825,-121.7102709,3/3/21,5,https://www.wta.org/go-hiking/hikes/baker-lake-horseshoe-cove
Baker Lake - Maple Grove,North Cascades,8,roundtrip,500,1000,3.75,12,48.64561313,-121.674614,3/18/21,285,https://www.wta.org/go-hiking/hikes/baker-lake-maple-grove
Baker Pass,North Cascades,,,,,3,4,,,5/31/16,1,https://www.wta.org/go-hiking/hikes/baker-pass
Baker Preserve,Puget Sound and Islands,3.2,roundtrip,1000,1050,4.33,3,48.69476062,-122.662626,2/23/21,29,https://www.wta.org/go-hiking/hikes/baker-preserve
Baker River,North Cascades,5.2,roundtrip,300,900,3.86,14,48.75065,-121.5560167,3/25/21,160,https://www.wta.org/go-hiking/hikes/baker-river
Bald Eagle Mountain,Central Cascades,13.6,one-way,3800,5800,1.5,4,48.00125,-121.2940333,10/9/20,61,https://www.wta.org/go-hiking/hikes/bald-eagle-mountain
Bald Mountain via Ashland Lakes,North Cascades,,,,,2,5,48.04767713,-121.7144394,8/25/20,34,https://www.wta.org/go-hiking/hikes/bald-mountain
Baldy,Olympic Peninsula,7.2,roundtrip,3800,6827,3.57,7,47.88288949,-123.1427295,12/6/20,61,https://www.wta.org/go-hiking/hikes/baldy
Baldy Mountain,Central Washington,5,roundtrip,1972,3212,4.2,5,46.79519747,-120.4583609,3/28/21,106,https://www.wta.org/go-hiking/hikes/baldy-mountain-1
Baldy Mountain,Central Cascades,6.25,roundtrip,2394,6412,0,0,47.82036978,-120.3110044,7/23/17,6,https://www.wta.org/go-hiking/hikes/baldy-mountain
Balfour Klickitat Day Use Area,Southwest Washington,0.75,roundtrip,150,,0,0,45.69920159,-121.2931751,5/12/18,2,https://www.wta.org/go-hiking/hikes/balfour-klickitat-day-use-area
Bandera Mountain,Snoqualmie Region,8,roundtrip,3400,5240,4.23,112,47.42469257,-121.5835603,3/17/21,1058,https://www.wta.org/go-hiking/hikes/bandera-mountain
Banner Forest,Olympic Peninsula,4,roundtrip,50,430,3.5,2,47.48927332,-122.5456908,3/2/21,13,https://www.wta.org/go-hiking/hikes/banner-forest
Banshee Peak,Mount Rainier Area,,,,7400,1,1,46.88788526,-121.6104984,8/10/20,19,https://www.wta.org/go-hiking/hikes/banshee-peak
Barclay Lake,Central Cascades,4.4,roundtrip,500,2423,3.92,75,47.79228478,-121.4592433,3/27/21,990,https://www.wta.org/go-hiking/hikes/barclay-lake
Bare Mountain,Snoqualmie Region,8.6,roundtrip,3300,5353,3.85,20,47.63955,-121.5283167,12/31/20,245,https://www.wta.org/go-hiking/hikes/bare-mountain
Barlow Point,North Cascades,2.4,roundtrip,800,3200,3.54,13,48.03046667,-121.4429333,10/26/20,98,https://www.wta.org/go-hiking/hikes/barlow-point
Barnaby,Eastern Washington,,,,,2.25,4,,,,0,https://www.wta.org/go-hiking/hikes/barnaby
Barnaby Buttes,Eastern Washington,,,,,3.5,4,,,9/14/18,7,https://www.wta.org/go-hiking/hikes/barnaby-buttes
Barnes Creek,Olympic Peninsula,10,roundtrip,3300,5090,3.14,7,48.0578167,-123.7884333,1/10/21,42,https://www.wta.org/go-hiking/hikes/barnes-creek
Barnes Point Nature,Olympic Peninsula,,,,,1.75,4,,,5/28/17,1,https://www.wta.org/go-hiking/hikes/barnes-point-nature
Barnum Point,Puget Sound and Islands,2.75,roundtrip,300,130,0,0,48.19998692,-122.456274,3/16/21,58,https://www.wta.org/go-hiking/hikes/barnum-point
Barrier Peak,Mount Rainier Area,,,,,2.5,2,46.86245051,-121.5299034,6/22/20,7,https://www.wta.org/go-hiking/hikes/barrier-peak
Barron Creek,North Cascades,,,,,2.25,4,,,,0,https://www.wta.org/go-hiking/hikes/barron-creek
Basalt Pass,Central Cascades,,,,,3,5,,,6/26/20,16,https://www.wta.org/go-hiking/hikes/basalt-pass
Basalt Ridge,Central Cascades,,,,,3,4,47.9515886,-120.7692429,10/17/20,36,https://www.wta.org/go-hiking/hikes/basalt-ridge
Basin Creek,Eastern Washington,,,,,4.5,4,,,7/6/20,5,https://www.wta.org/go-hiking/hikes/basin-creek
Basin Lake,South Cascades,2.5,one-way,580,6480,2.2,5,46.93687256,-121.4742422,7/25/20,29,https://www.wta.org/go-hiking/hikes/basin-lake
Batey-Bould,Eastern Washington,38.2,roundtrip,2000,4400,2.75,4,48.37111111,-117.3722222,2/15/18,1,https://www.wta.org/go-hiking/hikes/batey-bould
Bathtub Lakes,North Cascades,,,,,3,2,,,8/26/20,21,https://www.wta.org/go-hiking/hikes/bathtub-lakes
Battle Ground Lake State Park - Lower Lake Trail,Southwest Washington,1,roundtrip,120,680,4.5,2,45.80298144,-122.4913569,8/18/20,13,https://www.wta.org/go-hiking/hikes/battle-ground-lake-lower-lake-trail
Battle Point Park Trail,Puget Sound and Islands,3.5,trails,,,0,0,47.66308962,-122.5747633,,0,https://www.wta.org/go-hiking/hikes/battle-point-park-trail
Bauerman Ridge,North Cascades,,,,8044,0,0,48.97716,-120.06673,9/4/17,1,https://www.wta.org/go-hiking/hikes/bauerman-ridge
Bay View State Park,Puget Sound and Islands,,,,,0,0,48.487362,-122.480529,6/22/20,4,https://www.wta.org/go-hiking/hikes/bay-view-state-park
Bay to Baker Trail,North Cascades,8.5,trails,,100,3,3,48.76689857,-122.5163126,3/30/19,8,https://www.wta.org/go-hiking/hikes/bay-to-baker-trail
Bayshore Preserve,Olympic Peninsula,,,,,2,1,47.248556,-123.044222,6/11/20,2,https://www.wta.org/go-hiking/hikes/bayshore-preserve
Bayview Trail,Puget Sound and Islands,2.5,roundtrip,,,4,1,48.071474,-122.123029,12/1/20,1,https://www.wta.org/go-hiking/hikes/bayview-trail
Beacon Rock State Park - Beacon Rock,Southwest Washington,2,roundtrip,600,848,3.07,14,45.62906667,-122.0218667,6/22/20,69,https://www.wta.org/go-hiking/hikes/beacon-rock
Beacon Rock State Park - Bridge Trail,Southwest Washington,1,one-way,,,2.33,3,45.65892753,-122.0217991,4/24/18,6,https://www.wta.org/go-hiking/hikes/hardy-ridge-connector
Beacon Rock State Park - Hadley Trail,Southwest Washington,1.2,roundtrip,175,750,0,0,,,4/29/17,1,https://www.wta.org/go-hiking/hikes/hadley-trail
